BuildingType,PrimaryPropertyType,NumberofFloors,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,BuildingAge,Location,SteamUse %,Electricity %,NaturalGas %,total other type %,location_type
NonResidential,Hotel,6.0,88100,80.0,5827595.5,162.39,19,AuroraAveN,0.0,0.547130802060644,0.4528691121406762,8.579867971647559e-08,city_center
NonResidential,Hotel,6.0,118858,81.0,6836900.0,152.76,18,WesternAveWest,0.0,0.666813468092264,0.3331863856426158,1.4626512012672066e-07,city_center
NonResidential,K-12 School,3.0,56072,76.0,3234787.75,146.34,105,InterlakenDriveEast,0.0,0.17060377454440404,0.8293959936011258,2.3185447017848304e-07,city_center
NonResidential,Senior Care Community,2.0,93397,1.0,16402563.0,609.1,46,GreenwoodAve.N,0.0,0.3462567404862277,0.6537431985476904,6.09660819606006e-08,north
NonResidential,Hotel,6.0,63371,74.0,3706100.25,67.06,8,PontiusAveN,0.0,0.7589346780352204,0.24106525450842836,6.745635117155757e-08,city_center
NonResidential,Hotel,7.0,76631,71.0,7258758.5,262.75,108,MadisonSt.,0.0,0.3665560715375777,0.6334438595801196,6.88823027505947e-08,city_center
NonResidential,Mixed Use Property,6.0,90439,,15473117.0,481.97,33,TerryAve.,0.3443263887941906,0.6556735142634803,0.0,9.694232905310685e-08,city_center
NonResidential,Retail Store,2.0,58320,96.0,1049748.625,39.06,87,WestlakeAveN,0.0,0.34465679819299594,0.6553426064263719,5.9538063212905e-07,city_center
NonResidential,Large Office,5.0,316306,96.0,13795954.0,138.85,6,BorenAve.North,0.0,0.9329612870556107,0.06703856797434958,1.449700397504472e-07,city_center
NonResidential,Hotel,7.0,238097,37.0,19459304.0,526.85,26,FairviewAve.N,0.0,0.5642880135897974,0.4357119350209031,5.1389299482451634e-08,city_center
Nonresidential COS,Other,1.0,389000,,23658978.0,607.41,54,1stAve.N,0.25754071033837556,0.6094576866338013,0.02910861153850348,0.10389299148931963,city_center
Nonresidential COS,Other,1.0,91213,,8141155.5,344.2,54,MercerSt.,0.5060866359818333,0.4611280302900491,0.0,0.03278533372811754,city_center
Nonresidential COS,Other,5.0,396085,,20955026.0,804.2,78,HarrisonSt.,0.46593547533656127,0.3460900024652797,0.0,0.18797452219815902,city_center
NonResidential,Large Office,12.0,571329,91.0,39605888.0,617.52,6,BorenAve.N.,0.0,0.8131669462883903,0.1868329527165254,1.0099508429561865e-07,city_center
Nonresidential COS,Other,2.0,52000,,2726369.0,101.83,54,MercerSt.,0.44101880559821505,0.47438516209654674,0.0,0.08459603230523816,city_center
